info,timestamp,datetime,symbol,id,order,type,side,takerOrMaker,price,amount,cost,fee,fees,date,date_time
"{'a': '3692246148', 'p': '121359.49000000', 'q': '0.00735000', 'f': '5295178511', 'l': '5295178511', 'T': '1759881602336', 'm': False, 'M': True}",2025-10-08 00:00:02.336,2025-10-08T00:00:02.336Z,BTC/USDT,3692246148,,,buy,,121359.49,0.00735,891.9922515,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246149', 'p': '121359.49000000', 'q': '0.01648000', 'f': '5295178512', 'l': '5295178512', 'T': '1759881602339', 'm': False, 'M': True}",2025-10-08 00:00:02.339,2025-10-08T00:00:02.339Z,BTC/USDT,3692246149,,,buy,,121359.49,0.01648,2000.0043952,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246150', 'p': '121359.48000000', 'q': '0.00057000', 'f': '5295178513', 'l': '5295178513', 'T': '1759881602372', 'm': True, 'M': True}",2025-10-08 00:00:02.372,2025-10-08T00:00:02.372Z,BTC/USDT,3692246150,,,sell,,121359.48,0.00057,69.1749036,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246151', 'p': '121359.49000000', 'q': '0.04000000', 'f': '5295178514', 'l': '5295178514', 'T': '1759881602373', 'm': False, 'M': True}",2025-10-08 00:00:02.373,2025-10-08T00:00:02.373Z,BTC/USDT,3692246151,,,buy,,121359.49,0.04,4854.3796,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246152', 'p': '121359.48000000', 'q': '0.00160000', 'f': '5295178515', 'l': '5295178515', 'T': '1759881602424', 'm': True, 'M': True}",2025-10-08 00:00:02.424,2025-10-08T00:00:02.424Z,BTC/USDT,3692246152,,,sell,,121359.48,0.0016,194.175168,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246153', 'p': '121359.49000000', 'q': '0.00040000', 'f': '5295178516', 'l': '5295178516', 'T': '1759881602467', 'm': False, 'M': True}",2025-10-08 00:00:02.467,2025-10-08T00:00:02.467Z,BTC/USDT,3692246153,,,buy,,121359.49,0.0004,48.543796,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246154', 'p': '121359.48000000', 'q': '0.00006000', 'f': '5295178517', 'l': '5295178517', 'T': '1759881602565', 'm': True, 'M': True}",2025-10-08 00:00:02.565,2025-10-08T00:00:02.565Z,BTC/USDT,3692246154,,,sell,,121359.48,6e-05,7.2815688,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246155', 'p': '121359.49000000', 'q': '0.00236000', 'f': '5295178518', 'l': '5295178518', 'T': '1759881602586', 'm': False, 'M': True}",2025-10-08 00:00:02.586,2025-10-08T00:00:02.586Z,BTC/USDT,3692246155,,,buy,,121359.49,0.00236,286.4083964,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246156', 'p': '121359.49000000', 'q': '0.00342000', 'f': '5295178519', 'l': '5295178519', 'T': '1759881603163', 'm': False, 'M': True}",2025-10-08 00:00:03.163,2025-10-08T00:00:03.163Z,BTC/USDT,3692246156,,,buy,,121359.49,0.00342,415.0494558,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246157', 'p': '121359.49000000', 'q': '0.00016000', 'f': '5295178520', 'l': '5295178520', 'T': '1759881603222', 'm': False, 'M': True}",2025-10-08 00:00:03.222,2025-10-08T00:00:03.222Z,BTC/USDT,3692246157,,,buy,,121359.49,0.00016,19.4175184,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246158', 'p': '121359.49000000', 'q': '0.00102000', 'f': '5295178521', 'l': '5295178521', 'T': '1759881603389', 'm': False, 'M': True}",2025-10-08 00:00:03.389,2025-10-08T00:00:03.389Z,BTC/USDT,3692246158,,,buy,,121359.49,0.00102,123.7866798,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246159', 'p': '121359.49000000', 'q': '0.00008000', 'f': '5295178522', 'l': '5295178522', 'T': '1759881603410', 'm': False, 'M': True}",2025-10-08 00:00:03.410,2025-10-08T00:00:03.410Z,BTC/USDT,3692246159,,,buy,,121359.49,8e-05,9.7087592,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246160', 'p': '121359.48000000', 'q': '0.00047000', 'f': '5295178523', 'l': '5295178523', 'T': '1759881603546', 'm': True, 'M': True}",2025-10-08 00:00:03.546,2025-10-08T00:00:03.546Z,BTC/USDT,3692246160,,,sell,,121359.48,0.00047,57.0389556,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
